state,county,population
AK,Aleutians East Borough,3461
AK,Aleutians West Census Area,5160
AK,Anchorage Municipality,286075
AK,Bethel Census Area,18224
AK,Bristol Bay Borough,844
AK,Chugach Census Area,6769
AK,Copper River Census Area,2674
AK,Denali Borough,1584
AK,Dillingham Census Area,4607
AK,Fairbanks North Star Borough,94840
AK,Haines Borough,2070
AK,Hoonah-Angoon Census Area,2262
AK,Juneau City and Borough,31555
AK,Kenai Peninsula Borough,61223
AK,Ketchikan Gateway Borough,13738
AK,Kodiak Island Borough,12565
AK,Kusilvak Census Area,8001
AK,Lake and Peninsula Borough,1331
AK,Matanuska-Susitna Borough,115239
AK,Nome Census Area,9763
AK,North Slope Borough,10603
AK,Northwest Arctic Borough,7361
AK,Petersburg Borough,3427
AK,Prince of Wales-Hyder Census Area,5696
AK,Sitka City and Borough,8282
AK,Skagway Municipality,1095
AK,Southeast Fairbanks Census Area,7077
AK,Wrangell City and Borough,2064
AK,Yakutat City and Borough,687
AK,Yukon-Koyukuk Census Area,5129
AL,Autauga County,60342
AL,Baldwin County,253507
AL,Barbour County,24585
AL,Bibb County,21868
AL,Blount County,59816
AL,Bullock County,9897
AL,Butler County,18382
AL,Calhoun County,116429
AL,Chambers County,34079
AL,Cherokee County,25666
AL,Chilton County,46431
AL,Choctaw County,12252
AL,Clarke County,22337
AL,Clay County,14111
AL,Cleburne County,15639
AL,Coffee County,55643
AL,Colbert County,58361
AL,Conecuh County,11174
AL,Coosa County,10268
AL,Covington County,37952
AL,Crenshaw County,13101
AL,Cullman County,92016
AL,Dale County,49871
AL,Dallas County,36165
AL,DeKalb County,72569
AL,Elmore County,90441
AL,Escambia County,36558
AL,Etowah County,103241
AL,Fayette County,15967
AL,Franklin County,31802
AL,Geneva County,26988
AL,Greene County,7341
AL,Hale County,14888
AL,Henry County,17899
AL,Houston County,108462
AL,Jackson County,53467
AL,Jefferson County,662895
AL,Lamar County,13661
AL,Lauderdale County,96814
AL,Lawrence County,33502
AL,Lee County,183215
AL,Limestone County,114654
AL,Lowndes County,9717
AL,Macon County,18370
AL,Madison County,412600
AL,Marengo County,18684
AL,Marion County,29244
AL,Marshall County,100756
AL,Mobile County,411640
AL,Monroe County,19229
AL,Montgomery County,224980
AL,Morgan County,125133
AL,Perry County,7738
AL,Pickens County,18688
AL,Pike County,33137
AL,Randolph County,22786
AL,Russell County,58744
AL,Shelby County,233000
AL,St. Clair County,95552
AL,Sumter County,11727
AL,Talladega County,81132
AL,Tallapoosa County,40677
AL,Tuscaloosa County,237373
AL,Walker County,64728
AL,Washington County,15022
AL,Wilcox County,9944
AL,Winston County,23611
AR,Arkansas County,16307
AR,Ashley County,18262
AR,Baxter County,42875
AR,Benton County,311013
AR,Boone County,38530
AR,Bradley County,10104
AR,Calhoun County,4641
AR,Carroll County,28814
AR,Chicot County,9538
AR,Clark County,21274
AR,Clay County,14201
AR,Cleburne County,25445
AR,Cleveland County,7378
AR,Columbia County,22150
AR,Conway County,21077
AR,Craighead County,113993
AR,Crawford County,61891
AR,Crittenden County,47139
AR,Cross County,16420
AR,Dallas County,6185
AR,Desha County,10479
AR,Drew County,16945
AR,Faulkner County,129951
AR,Franklin County,17468
AR,Fulton County,12421
AR,Garland County,99784
AR,Grant County,18383
AR,Greene County,46743
AR,Hempstead County,19343
AR,Hot Spring County,33258
AR,Howard County,12533
AR,Independence County,38320
AR,Izard County,14169
AR,Jackson County,16784
AR,Jefferson County,63661
AR,Johnson County,26129
AR,Lafayette County,6095
AR,Lawrence County,16318
AR,Lee County,8201
AR,Lincoln County,12898
AR,Little River County,11805
AR,Logan County,21400
AR,Lonoke County,75944
AR,Madison County,17775
AR,Marion County,17514
AR,Miller County,42415
AR,Mississippi County,38663
AR,Monroe County,6512
AR,Montgomery County,8620
AR,Nevada County,8120
AR,Newton County,7071
AR,Ouachita County,21793
AR,Perry County,10184
AR,Phillips County,14961
AR,Pike County,10208
AR,Poinsett County,22397
AR,Polk County,19436
AR,Pope County,64593
AR,Prairie County,8036
AR,Pulaski County,400009
AR,Randolph County,18907
AR,Saline County,129574
AR,Scott County,9851
AR,Searcy County,7806
AR,Sebastian County,129098
AR,Sevier County,15632
AR,Sharp County,17968
AR,St. Francis County,22101
AR,Stone County,12671
AR,Union County,37397
AR,Van Buren County,16142
AR,Washington County,261549
AR,White County,78452
AR,Woodruff County,5964
AR,Yell County,20044
AZ,Apache County,65036
AZ,Cochise County,124640
AZ,Coconino County,144472
AZ,Gila County,54003
AZ,Graham County,39525
AZ,Greenlee County,9369
AZ,La Paz County,16710
AZ,Maricopa County,4585871
AZ,Mohave County,223682
AZ,Navajo County,109175
AZ,Pima County,1063162
AZ,Pinal County,484239
AZ,Santa Cruz County,49158
AZ,Yavapai County,249081
AZ,Yuma County,213221
CA,Alameda County,1622188
CA,Alpine County,1141
CA,Amador County,41811
CA,Butte County,207172
CA,Calaveras County,46565
CA,Colusa County,22037
CA,Contra Costa County,1155025
CA,Del Norte County,26589
CA,El Dorado County,192215
CA,Fresno County,1017162
CA,Glenn County,28129
CA,Humboldt County,133985
CA,Imperial County,179057
CA,Inyo County,18527
CA,Kern County,913820
CA,Kings County,152682
CA,Lake County,67878
CA,Lassen County,28861
CA,Los Angeles County,9663345
CA,Madera County,162858
CA,Marin County,254407
CA,Mariposa County,16919
CA,Mendocino County,89108
CA,Merced County,291920
CA,Modoc County,8500
CA,Mono County,13066
CA,Monterey County,430723
CA,Napa County,133216
CA,Nevada County,102037
CA,Orange County,3135755
CA,Placer County,423561
CA,Plumas County,19131
CA,Riverside County,2492442
CA,Sacramento County,1584288
CA,San Benito County,68175
CA,San Bernardino County,2195611
CA,San Diego County,3269973
CA,San Francisco County,808988
CA,San Joaquin County,800965
CA,San Luis Obispo County,281639
CA,San Mateo County,726353
CA,Santa Barbara County,441257
CA,Santa Clara County,1877592
CA,Santa Cruz County,261547
CA,Shasta County,180366
CA,Sierra County,3200
CA,Siskiyou County,42905
CA,Solano County,449218
CA,Sonoma County,481812
CA,Stanislaus County,551430
CA,Sutter County,97948
CA,Tehama County,64896
CA,Trinity County,15670
CA,Tulare County,479468
CA,Tuolumne County,54204
CA,Ventura County,829590
CA,Yolo County,220544
CA,Yuba County,85722
CO,Adams County,533365
CO,Alamosa County,16655
CO,Arapahoe County,656061
CO,Archuleta County,14189
CO,Baca County,3344
CO,Bent County,5681
CO,Boulder County,326831
CO,Broomfield County,76860
CO,Chaffee County,20617
CO,Cheyenne County,1727
CO,Clear Creek County,9147
CO,Conejos County,7521
CO,Costilla County,3628
CO,Crowley County,5636
CO,Custer County,5534
CO,Delta County,31746
CO,Denver County,716577
CO,Dolores County,2513
CO,Douglas County,383906
CO,Eagle County,54381
CO,El Paso County,744215
CO,Elbert County,28806
CO,Fremont County,50318
CO,Garfield County,62707
CO,Gilpin County,5926
CO,Grand County,15935
CO,Gunnison County,17321
CO,Hinsdale County,765
CO,Huerfano County,7055
CO,Jackson County,1309
CO,Jefferson County,576366
CO,Kiowa County,1384
CO,Kit Carson County,6994
CO,La Plata County,56407
CO,Lake County,7365
CO,Larimer County,370771
CO,Las Animas County,14348
CO,Lincoln County,5480
CO,Logan County,20619
CO,Mesa County,159681
CO,Mineral County,944
CO,Moffat County,13327
CO,Montezuma County,26531
CO,Montrose County,44156
CO,Morgan County,29524
CO,Otero County,18136
CO,Ouray County,5176
CO,Park County,18117
CO,Phillips County,4476
CO,Pitkin County,16640
CO,Prowers County,11751
CO,Pueblo County,169422
CO,Rio Blanco County,6569
CO,Rio Grande County,11188
CO,Routt County,25064
CO,Saguache County,6688
CO,San Juan County,802
CO,San Miguel County,7868
CO,Sedgwick County,2299
CO,Summit County,30465
CO,Teller County,24617
CO,Washington County,4855
CO,Weld County,359442
CO,Yuma County,9862
CT,Capitol Planning Region,975328
CT,Greater Bridgeport Planning Region,327651
CT,Lower Connecticut River Valley Planning Region,176215
CT,Naugatuck Valley Planning Region,456128
CT,Northeastern Connecticut Planning Region,96692
CT,Northwest Hills Planning Region,113463
CT,South Central Connecticut Planning Region,568158
CT,Southeastern Connecticut Planning Region,279634
CT,Western Connecticut Planning Region,623907
DC,District of Columbia,678972
DE,Kent County,189789
DE,New Castle County,578592
DE,Sussex County,263509
FL,Alachua County,285994
FL,Baker County,28368
FL,Bay County,190769
FL,Bradford County,27858
FL,Brevard County,643979
FL,Broward County,1962531
FL,Calhoun County,13470
FL,Charlotte County,206134
FL,Citrus County,166696
FL,Clay County,232439
FL,Collier County,404310
FL,Columbia County,73063
FL,DeSoto County,35979
FL,Dixie County,17465
FL,Duval County,1030822
FL,Escambia County,326928
FL,Flagler County,131439
FL,Franklin County,12594
FL,Gadsden County,43833
FL,Gilchrist County,19587
FL,Glades County,12786
FL,Gulf County,15693
FL,Hamilton County,13471
FL,Hardee County,25760
FL,Hendry County,43333
FL,Hernando County,212807
FL,Highlands County,107614
FL,Hillsborough County,1535564
FL,Holmes County,19944
FL,Indian River County,169795
FL,Jackson County,48622
FL,Jefferson County,15450
FL,Lafayette County,8078
FL,Lake County,424462
FL,Lee County,834573
FL,Leon County,296913
FL,Levy County,46545
FL,Liberty County,7706
FL,Madison County,18519
FL,Manatee County,441095
FL,Marion County,409959
FL,Martin County,163315
FL,Miami-Dade County,2686867
FL,Monroe County,80614
FL,Nassau County,101501
FL,Okaloosa County,218464
FL,Okeechobee County,41427
FL,Orange County,1471416
FL,Osceola County,437784
FL,Palm Beach County,1533801
FL,Pasco County,632996
FL,Pinellas County,961596
FL,Polk County,818330
FL,Putnam County,75955
FL,Santa Rosa County,203162
FL,Sarasota County,469013
FL,Seminole County,484271
FL,St. Johns County,320110
FL,St. Lucie County,373586
FL,Sumter County,151565
FL,Suwannee County,46130
FL,Taylor County,21582
FL,Union County,15532
FL,Volusia County,590357
FL,Wakulla County,36449
FL,Walton County,86354
FL,Washington County,25602
GA,Appling County,18457
GA,Atkinson County,8293
GA,Bacon County,11124
GA,Baker County,2743
GA,Baldwin County,43396
GA,Banks County,19789
GA,Barrow County,92792
GA,Bartow County,115041
GA,Ben Hill County,17128
GA,Berrien County,18570
GA,Bibb County,156512
GA,Bleckley County,12465
GA,Brantley County,18401
GA,Brooks County,16245
GA,Bryan County,49739
GA,Bulloch County,84327
GA,Burke County,24438
GA,Butts County,26887
GA,Calhoun County,5457
GA,Camden County,58118
GA,Candler County,11059
GA,Carroll County,127098
GA,Catoosa County,68910
GA,Charlton County,12934
GA,Chatham County,303655
GA,Chattahoochee County,8661
GA,Chattooga County,25222
GA,Cherokee County,286602
GA,Clarke County,129933
GA,Clay County,2853
GA,Clayton County,298300
GA,Clinch County,6746
GA,Cobb County,776743
GA,Coffee County,43317
GA,Colquitt County,46167
GA,Columbia County,165162
GA,Cook County,17714
GA,Coweta County,155892
GA,Crawford County,12277
GA,Crisp County,19631
GA,Dade County,16165
GA,Dawson County,31732
GA,DeKalb County,762992
GA,Decatur County,29087
GA,Dodge County,19776
GA,Dooly County,10981
GA,Dougherty County,82645
GA,Douglas County,149160
GA,Early County,10563
GA,Echols County,3709
GA,Effingham County,71541
GA,Elbert County,20013
GA,Emanuel County,23119
GA,Evans County,10754
GA,Fannin County,25955
GA,Fayette County,123351
GA,Floyd County,100113
GA,Forsyth County,272887
GA,Franklin County,24782
GA,Fulton County,1079105
GA,Gilmer County,32860
GA,Glascock County,2954
GA,Glynn County,86172
GA,Gordon County,59757
GA,Grady County,26066
GA,Greene County,20722
GA,Gwinnett County,983526
GA,Habersham County,48757
GA,Hall County,217267
GA,Hancock County,8676
GA,Haralson County,32038
GA,Harris County,36654
GA,Hart County,27556
GA,Heard County,12034
GA,Henry County,254613
GA,Houston County,171974
GA,Irwin County,9120
GA,Jackson County,88615
GA,Jasper County,16455
GA,Jeff Davis County,14906
GA,Jefferson County,15183
GA,Jenkins County,8627
GA,Johnson County,9282
GA,Jones County,28969
GA,Lamar County,20401
GA,Lanier County,10452
GA,Laurens County,49941
GA,Lee County,33872
GA,Liberty County,69210
GA,Lincoln County,7879
GA,Long County,19594
GA,Lowndes County,120712
GA,Lumpkin County,35258
GA,Macon County,11817
GA,Madison County,32191
GA,Marion County,7440
GA,McDuffie County,21799
GA,McIntosh County,11501
GA,Meriwether County,20931
GA,Miller County,5747
GA,Mitchell County,21114
GA,Monroe County,30625
GA,Montgomery County,8761
GA,Morgan County,21460
GA,Murray County,41035
GA,Muscogee County,201877
GA,Newton County,120135
GA,Oconee County,44182
GA,Oglethorpe County,15754
GA,Paulding County,183164
GA,Peach County,28805
GA,Pickens County,35969
GA,Pierce County,20425
GA,Pike County,20461
GA,Polk County,44223
GA,Pulaski County,10095
GA,Putnam County,23129
GA,Quitman County,2280
GA,Rabun County,17442
GA,Randolph County,6078
GA,Richmond County,205414
GA,Rockdale County,95987
GA,Schley County,4526
GA,Screven County,14174
GA,Seminole County,9092
GA,Spalding County,69946
GA,Stephens County,27228
GA,Stewart County,4674
GA,Sumter County,28890
GA,Talbot County,5718
GA,Taliaferro County,1609
GA,Tattnall County,24296
GA,Taylor County,7758
GA,Telfair County,10920
GA,Terrell County,8718
GA,Thomas County,45649
GA,Tift County,41554
GA,Toombs County,27040
GA,Towns County,13035
GA,Treutlen County,6341
GA,Troup County,70742
GA,Turner County,8909
GA,Twiggs County,7691
GA,Union County,27124
GA,Upson County,28263
GA,Walker County,69489
GA,Walton County,106702
GA,Ware County,36243
GA,Warren County,5106
GA,Washington County,19820
GA,Wayne County,31373
GA,Webster County,2337
GA,Wheeler County,7081
GA,White County,29026
GA,Whitfield County,103687
GA,Wilcox County,8779
GA,Wilkes County,9518
GA,Wilkinson County,8725
GA,Worth County,20273
HI,Hawaii County,207615
HI,Honolulu County,989408
HI,Kalawao County,81
HI,Kauai County,73851
HI,Maui County,164183
IA,Adair County,7389
IA,Adams County,3544
IA,Allamakee County,14074
IA,Appanoose County,12119
IA,Audubon County,5534
IA,Benton County,25796
IA,Black Hawk County,130471
IA,Boone County,26590
IA,Bremer County,25307
IA,Buchanan County,20691
IA,Buena Vista County,20567
IA,Butler County,14172
IA,Calhoun County,9763
IA,Carroll County,20522
IA,Cass County,13130
IA,Cedar County,18302
IA,Cerro Gordo County,42406
IA,Cherokee County,11605
IA,Chickasaw County,11658
IA,Clarke County,9588
IA,Clay County,16511
IA,Clayton County,16969
IA,Clinton County,46158
IA,Crawford County,16013
IA,Dallas County,111092
IA,Davis County,9169
IA,Decatur County,7665
IA,Delaware County,17600
IA,Des Moines County,38253
IA,Dickinson County,18056
IA,Dubuque County,98887
IA,Emmet County,9229
IA,Fayette County,19210
IA,Floyd County,15326
IA,Franklin County,9875
IA,Fremont County,6458
