state,county,cbsa_code,cbsa_title,cbsa_population
AK,Anchorage Municipality,11260,"Anchorage, AK",401314
AK,Fairbanks North Star Borough,21820,"Fairbanks-College, AK",94840
AK,Matanuska-Susitna Borough,11260,"Anchorage, AK",401314
AL,Autauga County,33860,"Montgomery, AL",385480
AL,Baldwin County,19300,"Daphne-Fairhope-Foley, AL",253507
AL,Bibb County,13820,"Birmingham, AL",1184290
AL,Blount County,13820,"Birmingham, AL",1184290
AL,Calhoun County,11500,"Anniston-Oxford, AL",116429
AL,Chilton County,13820,"Birmingham, AL",1184290
AL,Colbert County,22520,"Florence-Muscle Shoals, AL",155175
AL,Elmore County,33860,"Montgomery, AL",385480
AL,Etowah County,23460,"Gadsden, AL",103241
AL,Geneva County,20020,"Dothan, AL",153349
AL,Greene County,46220,"Tuscaloosa, AL",278290
AL,Hale County,46220,"Tuscaloosa, AL",278290
AL,Henry County,20020,"Dothan, AL",153349
AL,Houston County,20020,"Dothan, AL",153349
AL,Jefferson County,13820,"Birmingham, AL",1184290
AL,Lauderdale County,22520,"Florence-Muscle Shoals, AL",155175
AL,Lawrence County,19460,"Decatur, AL",158635
AL,Lee County,12220,"Auburn-Opelika, AL",201585
AL,Limestone County,26620,"Huntsville, AL",527254
AL,Lowndes County,33860,"Montgomery, AL",385480
AL,Macon County,12220,"Auburn-Opelika, AL",201585
AL,Madison County,26620,"Huntsville, AL",527254
AL,Mobile County,33660,"Mobile, AL",411640
AL,Montgomery County,33860,"Montgomery, AL",385480
AL,Morgan County,19460,"Decatur, AL",158635
AL,Pickens County,46220,"Tuscaloosa, AL",278290
AL,Russell County,17980,"Columbus, GA-AL",323768
AL,Shelby County,13820,"Birmingham, AL",1184290
AL,St. Clair County,13820,"Birmingham, AL",1184290
AL,Tuscaloosa County,46220,"Tuscaloosa, AL",278290
AL,Walker County,13820,"Birmingham, AL",1184290
AR,Benton County,22220,"Fayetteville-Springdale-Rogers, AR",590337
AR,Craighead County,27860,"Jonesboro, AR",136390
AR,Crawford County,22900,"Fort Smith, AR-OK",231280
AR,Crittenden County,32820,"Memphis, TN-MS-AR",1335674
AR,Faulkner County,30780,"Little Rock-North Little Rock-Conway, AR",764045
AR,Garland County,26300,"Hot Springs, AR",99784
AR,Grant County,30780,"Little Rock-North Little Rock-Conway, AR",764045
AR,Little River County,45500,"Texarkana, TX-AR",145907
AR,Lonoke County,30780,"Little Rock-North Little Rock-Conway, AR",764045
AR,Madison County,22220,"Fayetteville-Springdale-Rogers, AR",590337
AR,Miller County,45500,"Texarkana, TX-AR",145907
AR,Perry County,30780,"Little Rock-North Little Rock-Conway, AR",764045
AR,Poinsett County,27860,"Jonesboro, AR",136390
AR,Pulaski County,30780,"Little Rock-North Little Rock-Conway, AR",764045
AR,Saline County,30780,"Little Rock-North Little Rock-Conway, AR",764045
AR,Sebastian County,22900,"Fort Smith, AR-OK",231280
AR,Washington County,22220,"Fayetteville-Springdale-Rogers, AR",590337
AZ,Cochise County,43420,"Sierra Vista-Douglas, AZ",124640
AZ,Coconino County,22380,"Flagstaff, AZ",144472
AZ,Maricopa County,38060,"Phoenix-Mesa-Chandler, AZ",5070110
AZ,Mohave County,29420,"Lake Havasu City-Kingman, AZ",223682
AZ,Pima County,46060,"Tucson, AZ",1063162
AZ,Pinal County,38060,"Phoenix-Mesa-Chandler, AZ",5070110
AZ,Yavapai County,39150,"Prescott Valley-Prescott, AZ",249081
