state,municipality,county,population,latitude,longitude
AK,Adak city,Aleutians West Census Area,154,51.909889,-176.598067
AK,Akhiok city,Kodiak Island Borough,64,56.948329,-154.215306
AK,Akiak city,Bethel Census Area,448,60.912838,-161.216225
AK,Akutan city,Aleutians East Borough,1586,54.139979,-165.763026
AK,Alakanuk city,Kusilvak Census Area,723,62.710997,-164.649719
AK,Aleknagik city,Dillingham Census Area,199,59.288961,-158.664343
AK,Allakaket city,Yukon-Koyukuk Census Area,171,66.542002,-152.583016
AK,Ambler city,Northwest Arctic Borough,254,67.090944,-157.887097
AK,Anaktuvuk Pass city,North Slope Borough,403,68.149752,-151.697066
AK,Anchorage municipality,Anchorage Municipality,286075,61.17425,-149.284329
AK,Anderson city,Denali Borough,173,64.308281,-149.163187
AK,Angoon city,Hoonah-Angoon Census Area,335,57.441257,-134.478357
AK,Aniak city,Bethel Census Area,494,61.578825,-159.547427
AK,Anvik city,Yukon-Koyukuk Census Area,71,62.631627,-160.215106
AK,Atka city,Aleutians West Census Area,54,52.211546,-174.213452
AK,Atqasuk city,North Slope Borough,255,70.480786,-157.325459
AK,Bethel city,Bethel Census Area,6292,60.793868,-161.796066
AK,Bettles city,Yukon-Koyukuk Census Area,24,66.906901,-151.537994
AK,Brevig Mission city,Nome Census Area,415,65.343196,-166.508946
AK,Buckland city,Northwest Arctic Borough,511,65.976489,-161.139436
AK,Chefornak city,Bethel Census Area,490,60.151941,-164.252067
AK,Chevak city,Kusilvak Census Area,908,61.52956,-165.594126
AK,Chignik city,Lake and Peninsula Borough,86,56.29518,-158.391784
AK,Chuathbaluk city,Bethel Census Area,99,61.573909,-159.247015
AK,Clark's Point city,Dillingham Census Area,63,58.832992,-158.527347
AK,Coffman Cove city,Prince of Wales-Hyder Census Area,125,56.001661,-132.841966
AK,Cold Bay city,Aleutians East Borough,52,55.215515,-162.775546
AK,Cordova city,Chugach Census Area,2473,60.530138,-145.642065
AK,Craig city,Prince of Wales-Hyder Census Area,1041,55.488746,-133.111568
AK,Deering city,Northwest Arctic Borough,170,66.069488,-162.764572
AK,Delta Junction city,Southeast Fairbanks Census Area,955,64.057347,-145.699997
AK,Dillingham city,Dillingham Census Area,2126,59.060467,-158.532251
AK,Diomede city,Nome Census Area,80,65.753924,-168.922577
AK,Eagle city,Southeast Fairbanks Census Area,85,64.781256,-141.197829
AK,Edna Bay city,Prince of Wales-Hyder Census Area,25,55.967618,-133.692253
AK,Eek city,Bethel Census Area,389,60.216265,-162.041999
AK,Egegik city,Lake and Peninsula Borough,34,58.205148,-157.521978
AK,Ekwok city,Dillingham Census Area,103,59.345782,-157.487023
AK,Elim city,Nome Census Area,360,64.618226,-162.27656
AK,Emmonak city,Kusilvak Census Area,787,62.77559,-164.50929
AK,Fairbanks city,Fairbanks North Star Borough,31856,64.836531,-147.651745
AK,False Pass city,Aleutians East Borough,401,54.872441,-163.334268
AK,Fort Yukon city,Yukon-Koyukuk Census Area,411,66.588406,-145.227642
AK,Galena city,Yukon-Koyukuk Census Area,457,64.741422,-156.873394
AK,Gambell city,Nome Census Area,620,63.775872,-171.714835
AK,Golovin city,Nome Census Area,166,64.563902,-162.998943
AK,Goodnews Bay city,Bethel Census Area,252,59.127165,-161.575325
AK,Grayling city,Yukon-Koyukuk Census Area,200,62.896051,-160.112989
AK,Gustavus city,Hoonah-Angoon Census Area,612,58.434657,-135.728152
AK,Holy Cross city,Yukon-Koyukuk Census Area,170,62.185115,-159.858776
AK,Homer city,Kenai Peninsula Borough,6040,59.647503,-151.513095
AK,Hoonah city,Hoonah-Angoon Census Area,948,58.12201,-135.431474
AK,Hooper Bay city,Kusilvak Census Area,1308,61.509167,-166.111471
AK,Houston city,Matanuska-Susitna Borough,2146,61.615303,-149.80061
AK,Hughes city,Yukon-Koyukuk Census Area,82,66.045217,-154.237627
AK,Huslia city,Yukon-Koyukuk Census Area,293,65.705524,-156.310953
AK,Hydaburg city,Prince of Wales-Hyder Census Area,375,55.205842,-132.820438
