name,latitude,longitude,tenant,kind,shown_in_map,description
Dannelly Field,32.3006,-86.3939,F-35,Military installation,Shown in map,"State: Alabama
Nearest city with colocation: Montgomery, AL
Data center company: Southern Telecom
Website: https://www.southern-telecom.com/solutions/colocation.html"
Eielson AFB,64.6657,-147.1015,F-35,Military installation,Shown in map,"State: Alaska
Nearest city with colocation: Anchorage, AK
Data center company: GCI
Website: https://www.gci.com/business/products/managed-services/data-center-colocation"
Luke AFB,33.535,-112.383,F-35,Military installation,Shown in map,"State: Arizona
Nearest city with colocation: Phoenix, AZ
Data center company: Flexential
Website: https://www.flexential.com/data-centers/az/phoenix/deer-valley-data-center"
MCAS Yuma,32.6566,-114.606,F-35,Military installation,Shown in map,"State: Arizona
Nearest city with colocation: Phoenix, AZ
Data center company: Flexential
Website: https://www.flexential.com/data-centers/az/phoenix/deer-valley-data-center"
Ebbing ANGB,35.3366,-94.3674,F-35,Military installation,Shown in map,"State: Arkansas
Nearest city with colocation: Tulsa, OK
Data center company: TulsaConnect
Website: https://www.tulsaconnect.com/co-location.php"
Edwards AFB,34.9054,-117.8837,F-35,Military installation,Shown in map,"State: California
Nearest city with colocation: Los Angeles, CA
Data center company: Equinix
Website: https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/los-angeles-data-centers/la1"
NAS Lemoore,36.333,-119.952,F-35,Military installation,Shown in map,"State: California
Nearest city with colocation: Fresno, CA
Data center company: Carrier
Website: https://www.datacenters.com/locations/united-states/california/fresno"
MCAS Miramar,32.8671,-117.1418,F-35,Military installation,Shown in map,"State: California
Nearest city with colocation: San Diego, CA
Data center company: DataBank
Website: https://www.databank.com/data-centers/san-diego/"
Eglin AFB,30.4832,-86.5254,F-35,Military installation,Shown in map,"State: Florida
Nearest city with colocation: Pensacola, FL
Data center company: First City Internet
Website: https://firstcityinternet.com/colocation"
Jacksonville ANGB,30.4941,-81.6879,F-35,Military installation,Shown in map,"State: Florida
Nearest city with colocation: Jacksonville, FL
Data center company: Flexential
Website: https://www.flexential.com/data-centers/fl/jacksonville/data-center"
Tyndall AFB,30.0696,-85.5754,F-35,Military installation,Shown in map,"State: Florida
Nearest city with colocation: Tallahassee, FL
Data center company: EdgeConneX
Website: https://www.edgeconnex.com/locations/americas/tallahassee-fl/"
NAS Fallon,39.4166,-118.7003,F-35,Military installation,Shown in map,"State: Nevada
Nearest city with colocation: Las Vegas, NV
Data center company: Flexential
Website: https://www.flexential.com/data-centers/nv/las-vegas"
Nellis AFB,36.2362,-115.0343,F-35,Military installation,Shown in map,"State: Nevada
Nearest city with colocation: Las Vegas, NV
Data center company: Flexential
Website: https://www.flexential.com/data-centers/nv/las-vegas"
MCAS Cherry Point,34.9009,-76.8807,F-35,Military installation,Shown in map,"State: North Carolina
Nearest city with colocation: Raleigh, NC
Data center company: Flexential
Website: https://www.flexential.com/data-centers/nc/raleigh/data-center"
MCAS Beaufort,32.4774,-80.7232,F-35,Military installation,Shown in map,"State: South Carolina
Nearest city with colocation: Charleston, SC
Data center company: DartPoints
Website: https://dartpoints.com/locations/chs01-charleston-sc/"
Hill AFB,41.124,-111.9731,F-35,Military installation,Shown in map,"State: Utah
Nearest city with colocation: Ogden, UT
Data center company: WebNX
Website: https://webnx.com/datacenter-locations-and-networks/utah"
Ogden Air Logistics Complex,41.124,-111.9731,F-35,Military installation,Shown in map,"State: Utah
Nearest city with colocation: Ogden, UT
Data center company: WebNX
Website: https://webnx.com/datacenter-locations-and-networks/utah"
Burlington ANGB,44.4719,-73.1533,F-35,Military installation,Shown in map,"State: Vermont
Nearest city with colocation: Burlington, VT
Data center company: FirstLight Fiber
Website: https://www.firstlight.net/resources/burlington-vt-data-center/"
Truax Field,43.1399,-89.3375,F-35,Military installation,Shown in map,"State: Wisconsin
Nearest city with colocation: Madison, WI
Data center company: EdgeConneX
Website: https://www.edgeconnex.com/locations/americas/madison-wi/"
"Crystal City, VA",38.8564,-77.0502,F-35,Military installation,Shown in map,"Program: F-35
Location: Crystal City
State/Territory: Virginia"
Hill AFB,41.124,-111.9731,AFNWC/NI,Military installation,Shown in map,"Program: Sentinel
Location: Hill AFB
State/Territory: Utah"
Malmstrom AFB,47.5053,-111.183,AFNWC/NI,Military installation,Shown in map,"Program: Sentinel
Location: Malmstrom AFB
State/Territory: Montana"
Minot AFB,48.4156,-101.3577,AFNWC/NI,Military installation,Shown in map,"Program: Sentinel
Location: Minot AFB
State/Territory: North Dakota"
