Municipality,State,Latitude,Longitude
Akron,OH,41.0814,-81.5190
Albany,GA,31.5785,-84.1557
Albany,NY,42.6526,-73.7562
Albuquerque,NM,35.0844,-106.6504
Amarillo,TX,35.2220,-101.8313
Anaheim,CA,33.8366,-117.9143
Anderson,CA,40.4482,-122.2978
Anderson,IN,40.1053,-85.6803
Ashburn,VA,39.0438,-77.4875
Atlanta,GA,33.7490,-84.3880
Aurora,CO,39.7294,-104.8319
Aurora,IL,41.7606,-88.3201
Austin,TX,30.2672,-97.7431
Baltimore,MD,39.2904,-76.6122
Barstow,CA,34.8958,-117.0173
Beatty,OR,42.4376,-121.2778
Beaverton,OR,45.4871,-122.8037
Bellevue,WA,47.6101,-122.2015
Bend,OR,44.0582,-121.3153
Billings,MT,45.7870,-108.5000
Bismarck,ND,46.8080,-100.7840
Bluffdale,UT,40.4894,-111.9388
Boardman,OR,45.8398,-119.7003
Boise,ID,43.6150,-116.2023
Boston,MA,42.3601,-71.0589
Buffalo,NY,42.8864,-78.8784
Burns,OR,43.5863,-118.6943
Casper,WY,42.8666,-106.3131
Centennial,CO,39.5807,-104.8772
Chandler,AZ,33.3062,-111.8413
Charlotte,NC,35.2271,-80.8431
Cheyenne,WY,41.1400,-104.8202
Chicago,IL,41.8781,-87.6298
Cleveland,OH,41.4993,-81.6944
Clinton,MS,32.3415,-90.3218
Clinton,TN,36.1126,-84.1296
Coalville,UT,40.9180,-111.3994
Colorado Springs,CO,38.8339,-104.8214
Columbus,OH,39.9612,-82.9988
Cut Bank,MT,48.6333,-112.3261
Dallas,TX,32.7767,-96.7970
Dayton,OH,39.7589,-84.1916
Denver,CO,39.7392,-104.9903
Des Moines,IA,41.5868,-93.6091
El Paso,TX,31.7619,-106.4850
Elk Grove Village,IL,42.0039,-87.9706
Englewood,CO,39.6478,-104.9878
Eugene,OR,44.0521,-123.0868
Everett,WA,47.9790,-122.2021
Fargo,ND,46.8770,-96.7890
Fort Belvoir,VA,38.7095,-77.1461
Fort Wayne,IN,41.0793,-85.1394
Fort Worth,TX,32.7555,-97.3308
Frankfort,IN,40.2797,-86.5111
Franklin Park,IL,41.9353,-87.8653
Frederick,MD,39.4143,-77.4105
Fremont,CA,37.5485,-121.9886
Garfield Heights,OH,41.4170,-81.6054
Grand Junction,CO,39.0639,-108.5506
Grand Rapids,MI,42.9634,-85.6681
Great Falls,MT,47.5070,-111.3000
Helena,MT,46.5890,-112.0390
Henderson,CO,39.9183,-104.8772
Hillsboro,OR,45.5229,-122.9898
Houston,TX,29.7604,-95.3698
Indianapolis,IN,39.7684,-86.1581
Irvine,CA,33.6846,-117.8265
Jacksonville,FL,30.3322,-81.6557
Jasper,OR,43.9926,-122.9001
Jersey City,NJ,40.7178,-74.0431
Kalama,WA,46.0093,-122.8443
Kansas City,MO,39.0997,-94.5786
Keenesburg,CO,40.1083,-104.5191
Kent,WA,47.3809,-122.2348
Lansing,MI,42.7325,-84.5555
Laredo,TX,27.5306,-99.5075
Las Vegas,NV,36.1699,-115.1398
Laurel,MT,45.6691,-108.7710
Leeds,AL,33.5479,-86.5444
Lima,OH,40.7426,-84.1052
Linden,NJ,40.6220,-74.2446
Lithia Springs,GA,33.7943,-84.6635
Little Hocking,OH,39.2851,-81.7090
Lockport,NY,43.1697,-78.6911
Los Angeles,CA,34.0522,-118.2437
Los Osos,CA,35.3111,-120.8324
Lubbock,TX,33.5779,-101.8552
Macon,GA,32.8407,-83.6324
Madison,WI,43.0731,-89.4012
Manasquan,NJ,40.1257,-74.0490
Mankato,MN,44.1636,-93.9994
Marion,IN,40.5584,-85.6591
McAllen,TX,26.2034,-98.2300
McLean,VA,38.9339,-77.1773
Memphis,TN,35.1495,-90.0490
Miami,FL,25.7617,-80.1918
Midland,TX,31.9974,-102.0779
Minneapolis,MN,44.9778,-93.2650
Missoula,MT,46.8721,-113.9966
Modesto,CA,37.6391,-120.9969
Montgomery,TX,30.3877,-95.6963
Monument,CO,39.0917,-104.8722
Mt Prospect,IL,42.0664,-87.9373
Nashua,NH,42.7654,-71.4676
Nashville,TN,36.1627,-86.7816
New Orleans,LA,29.9511,-90.0715
New York,NY,40.7128,-74.0060
Newark,NJ,40.7357,-74.1724
Nogales,AZ,31.3404,-110.9343
Oak Brook,IL,41.8350,-87.9290
Oakland,CA,37.8044,-122.2712
Ogden,UT,41.2230,-111.9738
Olympia,WA,47.0379,-122.9007
Omaha,NE,41.2565,-95.9345
Orlando,FL,28.5383,-81.3792
Owatonna,MN,44.0840,-93.2260
Owings Mills,MD,39.4196,-76.7802
Palmdale,CA,34.5794,-118.1165
Palo Alto,CA,37.4419,-122.1430
Pasco,WA,46.2396,-119.1006
Philadelphia,PA,39.9526,-75.1652
Phoenix,AZ,33.4484,-112.0740
Pittsburgh,PA,40.4406,-79.9959
Plano,TX,33.0198,-96.6989
Pocatello,ID,42.8713,-112.4455
Ponchatoula,LA,30.4385,-90.4418
Port Matilda,PA,40.8009,-78.0508
Portland,OR,45.5152,-122.6765
Providence,RI,41.8240,-71.4128
Quincy,WA,47.2343,-119.8526
Rancho Cordova,CA,38.5891,-121.3027
Redmond,WA,47.6740,-122.1215
Reno,NV,39.5296,-119.8138
Reston,VA,38.9587,-77.3570
Richmond,VA,37.5407,-77.4360
Roanoke,LA,30.2566,-92.7440
Rock Springs,WY,41.5875,-109.2029
Sacramento,CA,38.5816,-121.4944
Salem,OR,44.9429,-123.0351
