Name,Municipality,State,Latitude,Longitude
Hill AFB,Layton,UT,41.124,-111.9731
Malmstrom AFB,Great Falls,MT,47.5053,-111.183
Minot AFB,Minot,ND,48.4156,-101.3577
Vandenberg SFB,Lompoc,CA,34.742,-120.5724
Cape Canaveral SFS,Cape Canaveral,FL,28.4889,-80.5772
F.E. Warren AFB,Cheyenne,WY,41.151,-104.861
Camp Guernsey,Guernsey,WY,42.269,-104.745
Camp Navajo,Bellemont,AZ,35.222,-111.842
JHU APL,Laurel,MD,39.1684,-76.8991
Reagan Test Site,Kwajalein,MH,8.72,167.731
Barksdale AFB,Bossier City,LA,32.5018,-93.6627
Hanscom AFB,Bedford,MA,42.4699,-71.289
"Washington, DC",Washington,DC,38.9072,-77.0369
Utah Test and Training Range (UTTR),Tooele,UT,41.0,-113.0
