Municipality,State,Latitude,Longitude
Phoenix,AZ,33.4484,-112.0740
Aurora,CO,39.7294,-104.8319
Denver,CO,39.7392,-104.9903
Tampa,FL,27.9506,-82.4572
Miami,FL,25.7617,-80.1918
Jacksonville,FL,30.3322,-81.6557
Atlanta,GA,33.7490,-84.3880
Louisville,KY,38.2527,-85.7585
Minneapolis,MN,44.9778,-93.2650
Las Vegas,NV,36.1699,-115.1398
Charlotte,NC,35.2271,-80.8431
Raleigh,NC,35.7796,-78.6382
Cincinnati,OH,39.1031,-84.5120
Hillsboro,OR,45.5229,-122.9898
Philadelphia,PA,39.9526,-75.1652
Nashville,TN,36.1627,-86.7816
Dallas,TX,32.7767,-96.7970
Salt Lake City,UT,40.7608,-111.8910
West Jordan,UT,40.6097,-111.9391
Richmond,VA,37.5407,-77.4360
