name,latitude,longitude,kind,shown_in_map,description
Williston,48.147,-103.618,ROADM,Not shown in map,
Ray,48.341,-103.166,ROADM,Not shown in map,
Stanley,48.317,-102.388,ROADM,Not shown in map,
"Minot, ND",48.232,-101.296,ROADM,Not shown in map,
Alexander,47.838,-103.642,ROADM,Not shown in map,
Parshall,47.952,-102.135,ROADM,Not shown in map,
Max,47.815,-101.298,ROADM,Not shown in map,
Bismarck,46.808,-100.784,ROADM,Not shown in map,
Steele,46.857,-99.916,ROADM,Not shown in map,
Dickinson,46.879,-102.789,ROADM,Not shown in map,
Beach,46.918,-104.001,ROADM,Not shown in map,
Rugby,48.369,-99.996,ROADM,Not shown in map,
Devils Lake,48.113,-98.865,ROADM,Not shown in map,
Carrington,47.449,-99.126,ROADM,Not shown in map,
Jamestown,46.910,-98.708,ROADM,Not shown in map,
Marion Jct.,46.611,-98.343,ROADM,Not shown in map,
Gwinner,46.218,-97.661,ROADM,Not shown in map,
Abercrombie,46.448,-96.728,ROADM,Not shown in map,
Buffalo,46.917,-97.547,ROADM,Not shown in map,
Fargo,46.877,-96.789,ROADM,Not shown in map,
Grand Forks,47.925,-97.032,ROADM,Not shown in map,
