name,latitude,longitude,kind,shown_in_map,description,municipality,state
"South Bend, IN",41.6764,-86.25,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,South Bend,IN
"Kalamazoo, MI",42.2917,-85.5872,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Kalamazoo,MI
"Boise, ID",43.615,-116.2023,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Boise,ID
"Missoula, MT",46.8721,-113.9966,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Missoula,MT
"Sacramento, CA",38.5816,-121.4944,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Sacramento,CA
"Modesto, CA",37.6391,-120.9969,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Modesto,CA
"McLean, VA",38.9339,-77.1773,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,McLean,VA
"New York, NY",40.7128,-74.006,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,New York,NY
"Stamford, CT",41.0534,-73.5387,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Stamford,CT
"Philadelphia, PA",39.9526,-75.1652,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Philadelphia,PA
"Wall, NJ",40.1654,-74.0665,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Wall,NJ
"Tuckerton, NJ",39.6032,-74.3402,ROADM,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Tuckerton,NJ
"Ashburn, VA",39.0438,-77.4875,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Ashburn,VA
"Baltimore, MD",39.2904,-76.6122,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Baltimore,MD
"Boston, MA",42.3601,-71.0589,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Boston,MA
"San Luis Obispo, CA",35.2828,-120.6596,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,San Luis Obispo,CA
"Los Angeles, CA",34.0522,-118.2437,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Los Angeles,CA
"San Francisco, CA",37.7749,-122.4194,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,San Francisco,CA
"San Jose, CA",37.3382,-121.8863,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,San Jose,CA
"Sunnyvale, CA",37.3688,-122.0363,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Sunnyvale,CA
"Seattle, WA",47.6062,-122.3321,PoP,Not shown in map,Carrier 400G PoP / Next-Gen Optical Network location from uploaded mapbook.,Seattle,WA
