name,latitude,longitude,kind,shown_in_map,description,municipality,state,Justified as an aggregation point
Fort Liberty,35.1410,-79.0060,Military installation,Shown in map,State: North Carolina,Fayetteville,NC,yes
Fort Campbell,36.6672,-87.4639,Military installation,Shown in map,State: Kentucky,Clarksville,TN,yes
Fort Cavazos,31.1349,-97.7841,Military installation,Shown in map,State: Texas,Killeen,TX,yes
Fort Moore,32.3539,-84.9692,Military installation,Shown in map,State: Georgia,Columbus,GA,yes
Fort Bliss,31.8131,-106.4210,Military installation,Shown in map,State: Texas,El Paso,TX,yes
Fort Carson,38.7375,-104.7889,Military installation,Shown in map,State: Colorado,Colorado Springs,CO,yes
Fort Drum,44.0509,-75.7591,Military installation,Shown in map,State: New York,Watertown,NY,yes
Fort Eisenhower,33.4204,-82.1402,Military installation,Shown in map,State: Georgia,Augusta,GA,yes
Fort Irwin,35.2611,-116.6847,Military installation,Shown in map,State: California,Barstow,CA,yes
Fort Jackson,34.0298,-80.9170,Military installation,Shown in map,State: South Carolina,Columbia,SC,yes
Fort Knox,37.8915,-85.9636,Military installation,Shown in map,State: Kentucky,Radcliff,KY,yes
Fort Leavenworth,39.3556,-94.9152,Military installation,Shown in map,State: Kansas,Leavenworth,KS,yes
Fort Leonard Wood,37.7531,-92.1296,Military installation,Shown in map,State: Missouri,Waynesville,MO,yes
Fort Gregg-Adams,37.2436,-77.3344,Military installation,Shown in map,State: Virginia,Petersburg,VA,yes
Fort Meade,39.1083,-76.7430,Military installation,Shown in map,State: Maryland,Odenton,MD,yes
Fort Johnson,31.0497,-93.2044,Military installation,Shown in map,State: Louisiana,Leesville,LA,yes
Fort Riley,39.0858,-96.8047,Military installation,Shown in map,State: Kansas,Junction City,KS,yes
Fort Novosel,31.3413,-85.7130,Military installation,Shown in map,State: Alabama,Enterprise,AL,yes
Fort Sill,34.6590,-98.4029,Military installation,Shown in map,State: Oklahoma,Lawton,OK,yes
Fort Stewart,31.8693,-81.6093,Military installation,Shown in map,State: Georgia,Hinesville,GA,yes
Fort Wainwright,64.8278,-147.6400,Military installation,Shown in map,State: Alaska,Fairbanks,AK,yes
Fort Greely,63.8767,-145.7350,Military installation,Shown in map,State: Alaska,Delta Junction,AK,yes
Joint Base Lewis-McChord,47.0858,-122.5828,Military installation,Shown in map,State: Washington,Tacoma,WA,yes
Fort Belvoir,38.7187,-77.1469,Military installation,Shown in map,State: Virginia,Alexandria,VA,yes
Aberdeen Proving Ground,39.4690,-76.1300,Military installation,Shown in map,State: Maryland,Aberdeen,MD,yes
Fort Huachuca,31.5500,-110.3450,Military installation,Shown in map,State: Arizona,Sierra Vista,AZ,yes
Fort Detrick,39.4360,-77.4280,Military installation,Shown in map,State: Maryland,Frederick,MD,yes
White Sands Missile Range,32.3784,-106.4844,Military installation,Shown in map,State: New Mexico,Las Cruces,NM,yes
Fort Shafter,21.3460,-157.8920,Military installation,Shown in map,State: Hawaii,Honolulu,HI,yes
Schofield Barracks,21.4936,-158.0640,Military installation,Shown in map,State: Hawaii,Wahiawa,HI,yes
United States Military Academy,41.3915,-73.9568,Military installation,Shown in map,State: New York,West Point,NY,yes
Presidio of Monterey,36.5970,-121.9180,Military installation,Shown in map,State: California,Monterey,CA,yes
Fort Hamilton,40.6090,-74.0300,Military installation,Shown in map,State: New York,Brooklyn,NY,yes
Fort McCoy,44.0370,-90.6760,Military installation,Shown in map,State: Wisconsin,Sparta,WI,yes
Anniston Army Depot,33.6200,-85.9600,Military installation,Shown in map,State: Alabama,Anniston,AL,yes
Picatinny Arsenal,40.9300,-74.5400,Military installation,Shown in map,State: New Jersey,Dover,NJ,yes
Tobyhanna Army Depot,41.1900,-75.4200,Military installation,Shown in map,State: Pennsylvania,Tobyhanna,PA,yes
Fort A.P. Hill,38.0900,-77.2900,Military installation,Shown in map,State: Virginia,Bowling Green,VA,yes
Naval Station Norfolk,36.9460,-76.3120,Military installation,Shown in map,State: Virginia,Norfolk,VA,yes
Naval Base San Diego,32.6800,-117.1290,Military installation,Shown in map,State: California,San Diego,CA,yes
Naval Base Coronado,32.6990,-117.2150,Military installation,Shown in map,State: California,Coronado,CA,yes
Naval Base Kitsap,47.7100,-122.7080,Military installation,Shown in map,State: Washington,Bremerton,WA,yes
Naval Station Mayport,30.3920,-81.4240,Military installation,Shown in map,State: Florida,Jacksonville,FL,yes
Naval Air Station Jacksonville,30.2360,-81.6800,Military installation,Shown in map,State: Florida,Jacksonville,FL,yes
Naval Station Everett,47.9920,-122.2460,Military installation,Shown in map,State: Washington,Everett,WA,yes
Naval Submarine Base New London,41.3960,-72.0870,Military installation,Shown in map,State: Connecticut,Groton,CT,yes
Naval Submarine Base Kings Bay,30.7960,-81.5160,Military installation,Shown in map,State: Georgia,St. Marys,GA,yes
Naval Air Station Oceana,36.8206,-76.0333,Military installation,Shown in map,State: Virginia,Virginia Beach,VA,yes
Naval Air Station Pensacola,30.3500,-87.3050,Military installation,Shown in map,State: Florida,Pensacola,FL,yes
Naval Air Station Whidbey Island,48.3520,-122.6560,Military installation,Shown in map,State: Washington,Oak Harbor,WA,yes
Naval Air Station Patuxent River,38.2860,-76.4120,Military installation,Shown in map,State: Maryland,Lexington Park,MD,yes
Naval Air Station Kingsville,27.5070,-97.8090,Military installation,Shown in map,State: Texas,Kingsville,TX,yes
Naval Air Station Meridian,32.5520,-88.5560,Military installation,Shown in map,State: Mississippi,Meridian,MS,yes
Naval Air Station Fort Worth JRB,32.7690,-97.4410,Military installation,Shown in map,State: Texas,Fort Worth,TX,yes
Naval Air Station Key West,24.5760,-81.6890,Military installation,Shown in map,State: Florida,Key West,FL,yes
Naval Air Weapons Station China Lake,35.6850,-117.6920,Military installation,Shown in map,State: California,Ridgecrest,CA,yes
Naval Base Ventura County,34.1200,-119.1200,Military installation,Shown in map,State: California,Oxnard,CA,yes
Naval Station Great Lakes,42.3100,-87.8400,Military installation,Shown in map,State: Illinois,North Chicago,IL,yes
Naval Air Station Whiting Field,30.7240,-87.0210,Military installation,Shown in map,State: Florida,Milton,FL,yes
Portsmouth Naval Shipyard,43.0790,-70.7430,Military installation,Shown in map,State: Maine,Kittery,ME,yes
United States Naval Academy,38.9840,-76.4840,Military installation,Shown in map,State: Maryland,Annapolis,MD,yes
Naval Support Activity Bethesda,39.0010,-77.0960,Military installation,Shown in map,State: Maryland,Bethesda,MD,yes
Joint Expeditionary Base Little Creek,36.9180,-76.1730,Military installation,Shown in map,State: Virginia,Virginia Beach,VA,yes
Joint Base Langley-Eustis,37.0830,-76.3600,Military installation,Shown in map,State: Virginia,Hampton,VA,yes
Joint Base Elmendorf-Richardson,61.2510,-149.8070,Military installation,Shown in map,State: Alaska,Anchorage,AK,yes
Joint Base Pearl Harbor-Hickam,21.3360,-157.9470,Military installation,Shown in map,State: Hawaii,Honolulu,HI,yes
Joint Base McGuire-Dix-Lakehurst,40.0160,-74.5920,Military installation,Shown in map,State: New Jersey,Trenton,NJ,yes
