name,latitude,longitude,kind,shown_in_map,description,municipality,state
"Uniti Albany, NY",42.6526,-73.7562,PoP,Not shown in map,Uniti Core Network PoP,Albany,NY
"Uniti Amarillo, TX",35.2220,-101.8313,PoP,Not shown in map,Uniti Core Network PoP,Amarillo,TX
"Uniti Ashburn, VA",39.0438,-77.4875,PoP,Not shown in map,Uniti Core Network PoP,Ashburn,VA
"Uniti Atlanta, GA",33.7490,-84.3880,PoP,Not shown in map,Uniti Core Network PoP,Atlanta,GA
"Uniti Augusta, GA",33.4735,-81.9748,PoP,Not shown in map,Uniti Core Network PoP,Augusta,GA
"Uniti Bakersfield, CA",35.3733,-119.0187,PoP,Not shown in map,Uniti Core Network PoP,Bakersfield,CA
"Uniti Birmingham, AL",33.5186,-86.8025,PoP,Not shown in map,Uniti Core Network PoP,Birmingham,AL
"Uniti Bloomington, IL",40.4842,-88.9937,PoP,Not shown in map,Uniti Core Network PoP,Bloomington,IL
"Uniti Boise, ID",43.6150,-116.2023,PoP,Not shown in map,Uniti Core Network PoP,Boise,ID
"Uniti Bristol, TN",36.5951,-82.1887,PoP,Not shown in map,Uniti Core Network PoP,Bristol,TN
"Uniti Buffalo, NY",42.8864,-78.8784,PoP,Not shown in map,Uniti Core Network PoP,Buffalo,NY
"Uniti Carlsbad, NM",32.4207,-104.2288,PoP,Not shown in map,Uniti Core Network PoP,Carlsbad,NM
"Uniti Charleston, SC",32.7765,-79.9311,PoP,Not shown in map,Uniti Core Network PoP,Charleston,SC
"Uniti Charlotte, NC",35.2271,-80.8431,PoP,Not shown in map,Uniti Core Network PoP,Charlotte,NC
"Uniti Chicago, IL",41.8781,-87.6298,PoP,Not shown in map,Uniti Core Network PoP,Chicago,IL
"Uniti Cincinnati, OH",39.1031,-84.5120,PoP,Not shown in map,Uniti Core Network PoP,Cincinnati,OH
"Uniti Cleveland, OH",41.4993,-81.6944,PoP,Not shown in map,Uniti Core Network PoP,Cleveland,OH
"Uniti Colorado Springs, CO",38.8339,-104.8214,PoP,Not shown in map,Uniti Core Network PoP,Colorado Springs,CO
"Uniti Columbia, MO",38.9517,-92.3341,PoP,Not shown in map,Uniti Core Network PoP,Columbia,MO
"Uniti Dallas, TX",32.7767,-96.7970,PoP,Not shown in map,Uniti Core Network PoP,Dallas,TX
"Uniti Davenport, IA",41.5236,-90.5776,PoP,Not shown in map,Uniti Core Network PoP,Davenport,IA
"Uniti Denver, CO",39.7392,-104.9903,PoP,Not shown in map,Uniti Core Network PoP,Denver,CO
"Uniti Des Moines, IA",41.5868,-93.6091,PoP,Not shown in map,Uniti Core Network PoP,Des Moines,IA
"Uniti Dothan, AL",31.2232,-85.3905,PoP,Not shown in map,Uniti Core Network PoP,Dothan,AL
"Uniti El Paso, TX",31.7619,-106.4850,PoP,Not shown in map,Uniti Core Network PoP,El Paso,TX
"Uniti Grand Junction, CO",39.0639,-108.5506,PoP,Not shown in map,Uniti Core Network PoP,Grand Junction,CO
"Uniti Hillsboro, OR",45.5229,-122.9898,PoP,Not shown in map,Uniti Core Network PoP,Hillsboro,OR
"Uniti Houston, TX",29.7604,-95.3698,PoP,Not shown in map,Uniti Core Network PoP,Houston,TX
"Uniti Indianapolis, IN",39.7684,-86.1581,PoP,Not shown in map,Uniti Core Network PoP,Indianapolis,IN
"Uniti Jackson, MS",32.2988,-90.1848,PoP,Not shown in map,Uniti Core Network PoP,Jackson,MS
"Uniti Jacksonville, FL",30.3322,-81.6557,PoP,Not shown in map,Uniti Core Network PoP,Jacksonville,FL
"Uniti Kansas City, MO",39.0997,-94.5786,PoP,Not shown in map,Uniti Core Network PoP,Kansas City,MO
"Uniti Knoxville, TN",35.9606,-83.9207,PoP,Not shown in map,Uniti Core Network PoP,Knoxville,TN
"Uniti Laredo, TX",27.5306,-99.5075,PoP,Not shown in map,Uniti Core Network PoP,Laredo,TX
"Uniti Las Vegas, NV",36.1699,-115.1398,PoP,Not shown in map,Uniti Core Network PoP,Las Vegas,NV
"Uniti Lexington, KY",38.0406,-84.5037,PoP,Not shown in map,Uniti Core Network PoP,Lexington,KY
"Uniti Lincoln, NE",40.8136,-96.7026,PoP,Not shown in map,Uniti Core Network PoP,Lincoln,NE
"Uniti Little Rock, AR",34.7465,-92.2896,PoP,Not shown in map,Uniti Core Network PoP,Little Rock,AR
"Uniti Los Angeles, CA",34.0522,-118.2437,PoP,Not shown in map,Uniti Core Network PoP,Los Angeles,CA
"Uniti Louisville, KY",38.2527,-85.7585,PoP,Not shown in map,Uniti Core Network PoP,Louisville,KY
"Uniti Lubbock, TX",33.5779,-101.8552,PoP,Not shown in map,Uniti Core Network PoP,Lubbock,TX
"Uniti McAllen, TX",26.2034,-98.2300,PoP,Not shown in map,Uniti Core Network PoP,McAllen,TX
"Uniti Memphis, TN",35.1495,-90.0490,PoP,Not shown in map,Uniti Core Network PoP,Memphis,TN
"Uniti Miami, FL",25.7617,-80.1918,PoP,Not shown in map,Uniti Core Network PoP,Miami,FL
"Uniti Midland, TX",31.9974,-102.0779,PoP,Not shown in map,Uniti Core Network PoP,Midland,TX
"Uniti Minneapolis, MN",44.9778,-93.2650,PoP,Not shown in map,Uniti Core Network PoP,Minneapolis,MN
"Uniti Mobile, AL",30.6954,-88.0399,PoP,Not shown in map,Uniti Core Network PoP,Mobile,AL
"Uniti Nashville, TN",36.1627,-86.7816,PoP,Not shown in map,Uniti Core Network PoP,Nashville,TN
"Uniti New Orleans, LA",29.9511,-90.0715,PoP,Not shown in map,Uniti Core Network PoP,New Orleans,LA
"Uniti New York, NY",40.7128,-74.0060,PoP,Not shown in map,Uniti Core Network PoP,New York,NY
"Uniti Newark, NJ",40.7357,-74.1724,PoP,Not shown in map,Uniti Core Network PoP,Newark,NJ
"Uniti Odessa, TX",31.8457,-102.3676,PoP,Not shown in map,Uniti Core Network PoP,Odessa,TX
"Uniti Oklahoma City, OK",35.4676,-97.5164,PoP,Not shown in map,Uniti Core Network PoP,Oklahoma City,OK
"Uniti Omaha, NE",41.2565,-95.9345,PoP,Not shown in map,Uniti Core Network PoP,Omaha,NE
"Uniti Orlando, FL",28.5383,-81.3792,PoP,Not shown in map,Uniti Core Network PoP,Orlando,FL
"Uniti Palo Alto, CA",37.4419,-122.1430,PoP,Not shown in map,Uniti Core Network PoP,Palo Alto,CA
"Uniti Philadelphia, PA",39.9526,-75.1652,PoP,Not shown in map,Uniti Core Network PoP,Philadelphia,PA
"Uniti Phoenix, AZ",33.4484,-112.0740,PoP,Not shown in map,Uniti Core Network PoP,Phoenix,AZ
"Uniti Pittsburgh, PA",40.4406,-79.9959,PoP,Not shown in map,Uniti Core Network PoP,Pittsburgh,PA
"Uniti Portland, OR",45.5152,-122.6765,PoP,Not shown in map,Uniti Core Network PoP,Portland,OR
"Uniti Reno, NV",39.5296,-119.8138,PoP,Not shown in map,Uniti Core Network PoP,Reno,NV
"Uniti Richmond, VA",37.5407,-77.4360,PoP,Not shown in map,Uniti Core Network PoP,Richmond,VA
