source,target,type,note
Kalispell,Great Falls,backbone,confirmed
Kalispell,Helena,backbone,confirmed
Kalispell,Havre,backbone,confirmed
Great Falls,Helena,backbone,confirmed
Great Falls,Havre,backbone,confirmed
Great Falls,Bozeman,backbone,confirmed
Great Falls,Billings,backbone,confirmed
Billings,Miles City,backbone,confirmed
Billings,Bozeman,backbone,confirmed
Billings,Havre,backbone,confirmed
Bozeman,Helena,backbone,confirmed
Bozeman,Havre,backbone,confirmed
Miles City,Havre,backbone,confirmed
Kalispell,"Missoula, MT",interconnect-lumen,confirmed (Missoula is a Lumen PoP and a VN node)
Great Falls,"Missoula, MT",interconnect-lumen,confirmed
Havre,"Missoula, MT",interconnect-lumen,confirmed
Helena,"Missoula, MT",interconnect-lumen,confirmed
Havre,Williston,interconnect-dcn,confirmed (Williston is a DCN node)
Miles City,Williston,interconnect-dcn,confirmed
