source_id,source_name,source_role,target_id,target_name,target_role,edge_kind,distance_miles,source_page
csp_secret_aws_secret_east_region,AWS Secret East Region,access,carrier_pop_cincinnati_oh,"Cincinnati, OH",aggregation,access_to_aggregation,100.085,
csp_secret_aws_secret_east_region,AWS Secret East Region,access,carrier_pop_columbus_oh,"Columbus, OH",aggregation,access_to_aggregation,0.0,
csp_secret_aws_secret_west_region,AWS Secret West Region,access,carrier_pop_phoenix_az,"Phoenix, AZ",aggregation,access_to_aggregation,0.0,
csp_secret_aws_secret_west_region,AWS Secret West Region,access,carrier_pop_tucson_az,"Tucson, AZ",aggregation,access_to_aggregation,106.046,
csp_secret_azure_secret_east_region,Azure Secret East Region,access,carrier_pop_ashburn_va,"Ashburn, VA",aggregation,access_to_aggregation,20.248,
csp_secret_azure_secret_east_region,Azure Secret East Region,access,carrier_pop_herndon_va,"Herndon, VA",aggregation,access_to_aggregation,15.855,
csp_secret_azure_secret_west_region,Azure Secret West Region,access,carrier_pop_austin_tx,"Austin, TX",aggregation,access_to_aggregation,73.595,
csp_secret_azure_secret_west_region,Azure Secret West Region,access,carrier_pop_san_antonio_tx,"San Antonio, TX",aggregation,access_to_aggregation,0.0,
csp_secret_oci_secret_east_region,OCI Secret East Region,access,carrier_pop_ashburn_va,"Ashburn, VA",aggregation,access_to_aggregation,0.005,
csp_secret_oci_secret_east_region,OCI Secret East Region,access,carrier_pop_herndon_va,"Herndon, VA",aggregation,access_to_aggregation,7.474,
csp_secret_oci_secret_west_region,OCI Secret West Region,access,carrier_pop_dallas_tx,"Dallas, TX",aggregation,access_to_aggregation,31.048,
csp_secret_oci_secret_west_region,OCI Secret West Region,access,carrier_pop_fort_worth_tx,"Fort Worth, TX",aggregation,access_to_aggregation,0.0,
f35_burlington_angb,Burlington ANGB,access,carrier_pop_albany_ny,"Albany, NY",aggregation,access_to_aggregation,129.274,
f35_burlington_angb,Burlington ANGB,access,carrier_pop_stamford_ct,"Stamford, CT",aggregation,access_to_aggregation,237.003,
f35_crystal_city_va,"Crystal City, VA",access,carrier_pop_herndon_va,"Herndon, VA",aggregation,access_to_aggregation,19.68,
f35_crystal_city_va,"Crystal City, VA",access,carrier_pop_mclean_va,"McLean, VA",aggregation,access_to_aggregation,8.683,
f35_dannelly_field,Dannelly Field,access,carrier_pop_billingsley_al,"Billingsley, AL",aggregation,access_to_aggregation,30.975,
f35_dannelly_field,Dannelly Field,access,carrier_pop_tallahassee_fl,"Tallahassee, FL",aggregation,access_to_aggregation,179.15,
f35_ebbing_angb,Ebbing ANGB,access,carrier_pop_dallas_tx,"Dallas, TX",aggregation,access_to_aggregation,224.984,
f35_ebbing_angb,Ebbing ANGB,access,carrier_pop_tulsa_ok,"Tulsa, OK",aggregation,access_to_aggregation,107.225,
f35_edwards_afb,Edwards AFB,access,carrier_pop_los_angeles_ca,"Los Angeles, CA",aggregation,access_to_aggregation,62.414,
f35_edwards_afb,Edwards AFB,access,carrier_pop_san_bernadino_ca,"San Bernadino, CA",aggregation,access_to_aggregation,64.627,
f35_eglin_afb,Eglin AFB,access,carrier_pop_billingsley_al,"Billingsley, AL",aggregation,access_to_aggregation,150.807,
f35_eglin_afb,Eglin AFB,access,carrier_pop_tallahassee_fl,"Tallahassee, FL",aggregation,access_to_aggregation,133.721,
f35_eielson_afb,Eielson AFB,access,carrier_pop_seattle_wa,"Seattle, WA",aggregation,access_to_aggregation,1495.827,
f35_eielson_afb,Eielson AFB,access,carrier_pop_yakima_wa,"Yakima, WA",aggregation,access_to_aggregation,1598.24,
f35_hill_afb,Hill AFB,access,carrier_pop_ogden_ut,"Ogden, UT",aggregation,access_to_aggregation,6.84,
f35_hill_afb,Hill AFB,access,carrier_pop_salt_lake_city_ut,"Salt Lake City, UT",aggregation,access_to_aggregation,25.458,
f35_jacksonville_angb,Jacksonville ANGB,access,carrier_pop_jacksonville_fl,"Jacksonville, FL",aggregation,access_to_aggregation,11.35,
f35_jacksonville_angb,Jacksonville ANGB,access,carrier_pop_tallahassee_fl,"Tallahassee, FL",aggregation,access_to_aggregation,154.455,
f35_luke_afb,Luke AFB,access,carrier_pop_phoenix_az,"Phoenix, AZ",aggregation,access_to_aggregation,18.784,
f35_luke_afb,Luke AFB,access,carrier_pop_tucson_az,"Tucson, AZ",aggregation,access_to_aggregation,122.064,
f35_mcas_beaufort,MCAS Beaufort,access,carrier_pop_charlotte_nc,"Charlotte, NC",aggregation,access_to_aggregation,190.111,
